"","crdc_id","year","fips","school_name","ncessch","leaid","charter","white","black","hispanic","asian","amindian_alnative","hi_native_islander","two_or_more","total_enrollment","enrl_ap_white","enrl_ap_black","enrl_ap_hispanic","enrl_ap_asian","enrl_ap_ind_natv","enrl_ap_hinatv_islndr","enrl_ap_two_or_more","enrl_ib_white","enrl_ib_black","enrl_ib_hispanic","enrl_ib_asian","enrl_ib_ind_natv","enrl_ib_hinatv_islndr","enrl_ib_two_or_more","enrl_gt_white","enrl_gt_black","enrl_gt_hispanic","enrl_gt_asian","enrl_gt_ind_natv","enrl_gt_hi_natv_islndr","enrl_gt_two_or_more"
"17","370009702494",2015,37,"Raleigh Charter High School","370009702494",3700097,1,355,31,22,127,0,0,25,560,184,10,10,85,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","040061803095",2015,4,"South Pointe High School","040061803095",400618,1,13,121,319,2,13,0,13,481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","481970006257",2015,48,"WILLOUGHBY HOUSE","481970006257",4819700,0,2,0,2,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","180264000312",2015,18,"Decatur Central High School","180264000312",1802640,0,1246,187,184,13,4,4,67,1705,187,25,31,4,0,0,4,NA,NA,NA,NA,NA,NA,NA,295,22,16,2,0,0,7
"21","481623011197",2015,48,"TRINIDAD GARZA EARLY COLLEGE AT MT VIEW","481623011197",4816230,0,4,40,376,2,0,0,2,424,0,13,109,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,13,145,2,0,0,2
"22","040880001447",2015,4,"Sahuaro High School","040880001447",408800,0,760,103,715,40,19,4,103,1744,208,34,175,16,7,2,28,NA,NA,NA,NA,NA,NA,NA,127,7,85,7,5,2,13
"23","040010601892",2015,4,"AAEC - Paradise Valley","040010601892",400106,1,328,16,46,10,2,4,2,408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","040497000404",2015,4,"Mesa High School","040497000404",404970,0,994,142,2113,55,76,25,22,3427,220,16,322,10,13,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","480005907798",2015,48,"POSITIVE SOLUTIONS CHARTER","480005907798",4800059,1,4,7,154,0,2,0,0,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","484071016996",2015,48,"KEYS ACAD","484071016996",4840710,0,0,2,49,0,0,0,0,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,0,0,0
"27","480141212313",2015,48,"HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN","480141212313",4801412,1,19,5,100,0,2,2,0,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","040038701735",2015,4,"Kaizen Education Foundation dba Quest High School","040038701735",400387,1,4,10,37,0,2,0,0,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","040038601894",2015,4,"Kaizen Education Foundation dba Summit High School","040038601894",400386,1,19,37,283,2,10,4,7,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","040037302889",2015,4,"TIA West","040037302889",400373,1,40,4,49,0,4,0,10,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","040036602302",2015,4,"Desert Marigold School","040036602302",400366,1,253,13,49,4,7,0,22,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","484668006496",2015,48,"DEL VALLE H S","484668006496",4846680,0,16,4,1414,0,2,0,0,1436,4,0,493,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,190,0,0,0,0
"33","320000100759",2015,32,"Quest Academy","320000100759",3200001,1,445,295,310,64,10,43,100,1267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","483808006469",2015,48,"MCNEIL H S","483808006469",4838080,0,1114,274,646,457,10,7,118,2626,196,25,94,220,2,0,28,NA,NA,NA,NA,NA,NA,NA,88,4,16,79,2,0,16
"35","040032702163",2015,4,"North Pointe Preparatory","040032702163",400327,1,397,31,340,25,7,2,34,836,88,7,91,10,4,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","060243000134",2015,6,"La Sierra High","060243000134",602430,0,163,82,1471,121,10,4,37,1888,25,13,268,58,0,2,7,NA,NA,NA,NA,NA,NA,NA,19,7,121,22,2,2,2
"37","370126000530",2015,37,"C E Jordan High","370126000530",3701260,0,526,814,469,112,10,5,52,1988,289,136,43,55,2,2,22,NA,NA,NA,NA,NA,NA,NA,202,139,55,40,0,2,22
"38","120048008016",2015,12,"DUVAL CHARTER HIGH SCHOOL AT BAYMEADOWS","120048008016",1200480,1,289,148,61,16,2,0,13,529,28,7,2,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,10,0,0,0,0,0,0
"39","530771003046",2015,53,"Private School Services","530771003046",5307710,0,94,16,22,19,2,0,13,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","120048002469",2015,12,"DOUGLAS ANDERSON SCHOOL OF THE ARTS","120048002469",1200480,0,751,244,109,49,7,2,40,1202,439,124,58,37,4,2,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","040087803350",2015,4,"BASIS Tucson North","040087803350",400878,1,490,22,124,121,7,2,7,773,166,7,37,43,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","062271003209",2015,6,"Nathaniel Narbonne Senior High","062271003209",622710,0,130,496,1624,229,7,52,25,2563,28,85,343,127,2,13,4,NA,NA,NA,NA,NA,NA,NA,22,58,238,91,4,7,2
"43","130012003543",2015,13,"School of Health Sciences and Research at Carver","130012003543",1300120,0,0,268,7,0,2,0,0,277,0,61,4,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0
"44","120039007845",2015,12,"SPORTS LEADERSHIP OF MIAMI CHARTER HIGH SCHOOL","120039007845",1200390,1,19,28,400,4,0,0,0,451,4,7,100,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,4,31,0,0,0,0
"45","040593001313",2015,4,"Roadrunner School","040593001313",405930,0,115,19,67,7,2,0,10,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0
"46","120039007580",2015,12,"MIAMI-DADE ONLINE ACADEMY- VIRTUAL INSTRUCTION PROGRAM","120039007580",1200390,0,58,58,181,10,0,0,2,309,4,4,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,0,0,0
"47","063384005264",2015,6,"Luther Burbank High","063384005264",633840,0,61,391,673,466,13,76,34,1714,0,0,40,0,0,0,0,7,43,121,151,2,16,7,NA,NA,NA,NA,NA,NA,NA
"48","110003000133",2015,11,"Woodrow Wilson HS","110003000133",1100030,0,490,715,394,109,4,4,82,1798,301,202,142,58,4,2,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","120039003977",2015,12,"INTERNATIONAL STUDIES CHARTER HIGH SCHOOL","120039003977",1200390,1,106,7,295,4,0,0,0,412,70,2,184,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,2,43,4,0,0,0
"50","120039003973",2015,12,"BRIDGEPREP ACADEMY OF ARTS & MINDS","120039003973",1200390,1,49,37,295,2,0,0,2,385,13,7,88,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,7,5,16,0,0,0,0
"51","530771001311",2015,53,"Seattle World School","530771001311",5307710,0,10,64,64,64,0,0,2,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","062271003385",2015,6,"Sylmar Senior High","062271003385",622710,1,49,37,1870,13,2,2,10,1983,4,7,262,2,0,0,4,NA,NA,NA,NA,NA,NA,NA,2,4,262,5,0,2,4
"53","110002600240",2015,11,"Washington Math Science Tech PCS","110002600240",1100026,1,2,256,2,0,0,0,0,260,0,58,0,0,0,0,0,2,22,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"54","482892011022",2015,48,"MANSFIELD TIMBERVIEW H S","482892011022",4828920,0,241,796,445,160,4,2,82,1730,67,217,103,85,0,0,25,NA,NA,NA,NA,NA,NA,NA,16,28,25,16,0,0,7
"55","069101112197",2015,6,"YouthBuild Charter School of California","069101112197",691011,1,22,220,1120,4,4,4,0,1374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","040024302030",2015,4,"Skyline Prep High School","040024302030",400243,1,22,55,70,5,2,0,2,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","481970001830",2015,48,"ARLINGTON HEIGHTS H S","481970001830",4819700,0,514,439,991,16,4,4,52,2020,235,109,307,7,2,4,22,NA,NA,NA,NA,NA,NA,NA,136,40,133,4,0,2,16
"58","480020908803",2015,48,"YES PREP - SOUTHEAST","480020908803",4800209,1,19,19,958,7,7,0,4,1014,10,10,439,7,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","040085903251",2015,4,"ASU Preparatory Academy-Polytechnic High School","040085903251",400859,1,121,19,46,10,5,2,7,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","481623007565",2015,48,"MOISES E MOLINA H S","481623007565",4816230,0,16,70,1993,4,2,0,2,2087,7,7,487,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,2,5,241,0,0,0,0
"61","040008301011",2015,4,"PPEP TEC - Celestino Fernandez Learning Center","040008301011",400083,1,13,7,199,2,16,0,5,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","480007508344",2015,48,"RICHARD MILBURN ACADEMY CORPUS CHRISTI","480007508344",4800075,1,88,13,280,4,2,2,4,393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","120048008243",2015,12,"SAN JOSE PREPARATORY HIGH SCHOOL","120048008243",1200480,1,109,34,43,4,0,0,4,194,43,10,16,2,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","484071011496",2015,48,"OPTIONS H S","484071011496",4840710,0,0,2,73,0,0,0,0,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,0
"65","480010611212",2015,48,"PASEO DEL NORTE ACADEMY-VISTA DEL SOL CHARTER HIGH","480010611212",4800106,1,2,0,151,0,2,0,2,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","063432007837",2015,6,"Whittier K-12","063432007837",634320,0,16,5,16,4,0,2,2,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","061954002353",2015,6,"South High","061954002353",619540,0,115,196,1588,46,13,4,10,1972,13,16,268,16,2,2,2,NA,NA,NA,NA,NA,NA,NA,16,16,256,13,2,0,2
"68","370297002842",2015,37,"Performance Learning Center","370297002842",3702970,0,73,130,43,7,2,0,7,262,10,19,5,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,13,4,2,0,0,0,2
"69","062805004305",2015,6,"Oakland Technical High","062805004305",628050,0,478,631,367,397,4,4,130,2011,166,88,79,118,0,0,28,NA,NA,NA,NA,NA,NA,NA,214,76,76,157,2,0,43
"70","120039007420",2015,12,"YOUNG MEN'S PREPARATORY ACADEMY","120039007420",1200390,0,5,139,77,2,0,0,2,225,2,11,14,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,0,14,2,0,0,0,0
"71","040345000280",2015,4,"Moon Valley High School","040345000280",403450,0,628,133,658,55,43,7,34,1558,181,16,82,13,7,2,7,NA,NA,NA,NA,NA,NA,NA,205,13,100,28,7,4,4
"72","063315012176",2015,6,"Riverside Virtual","063315012176",633150,0,37,10,37,2,2,0,4,92,4,2,5,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,2,7,0,0,0,0
"73","110003500475",2015,11,"Capital City PCS - High","110003500475",1100035,1,4,118,172,13,2,2,7,318,2,19,28,4,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","480894008937",2015,48,"AKINS H S","480894008937",4808940,0,283,220,2083,76,4,4,43,2713,106,31,496,40,2,2,13,NA,NA,NA,NA,NA,NA,NA,34,7,142,10,0,0,4
"75","110008200441",2015,11,"Richard Wright PCS for Journalism and Media Arts PCS","110008200441",1100082,1,2,283,0,0,0,2,0,287,0,40,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","110007900424",2015,11,"National Collegiate Prep PCS","110007900424",1100079,1,0,280,0,0,0,0,0,280,0,19,0,0,0,0,0,0,7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"77","484071006914",2015,48,"MONTWOOD H S","484071006914",4840710,0,94,40,2446,19,4,4,4,2611,22,10,430,7,0,2,2,NA,NA,NA,NA,NA,NA,NA,7,4,157,2,0,0,2
"78","484668011982",2015,48,"VALLE VERDE EARLY COLLEGE H S","484668011982",4846680,0,16,2,295,2,0,2,0,317,13,2,238,2,0,2,0,NA,NA,NA,NA,NA,NA,NA,7,0,97,2,0,0,0
"79","470014801859",2015,47,"Kirby High School","470014801859",4700148,0,4,853,139,4,2,0,7,1009,0,7,13,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","063432005520",2015,6,"Mira Mesa High","063432005520",634320,0,337,115,547,1192,4,16,214,2425,88,22,127,499,2,4,61,NA,NA,NA,NA,NA,NA,NA,133,22,124,433,2,4,70
"81","040023801854",2015,4,"Metropolitan Arts Institute","040023801854",400238,1,130,10,91,2,2,0,19,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","060797007672",2015,6,"Pershing Continuation High","060797007672",607970,0,13,22,82,5,2,0,2,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","062271012439",2015,6,"Ramon C. Cortines School of Visual and Performing Arts","062271012439",622710,0,163,124,1075,133,5,2,25,1527,64,25,322,61,2,0,10,NA,NA,NA,NA,NA,NA,NA,43,19,214,37,2,0,4
"84","290825000225",2015,29,"CENTER SR. HIGH","290825000225",2908250,0,97,427,46,13,0,0,43,626,22,34,10,4,0,0,8,NA,NA,NA,NA,NA,NA,NA,13,13,2,4,0,0,4
"85","063864006488",2015,6,"Montgomery Senior High","063864006488",638640,0,16,22,1342,115,4,4,46,1549,5,2,313,40,0,2,13,NA,NA,NA,NA,NA,NA,NA,4,0,184,40,0,2,13
"86","480870000253",2015,48,"LAMAR H S","480870000253",4808700,0,667,1021,1075,118,16,7,61,2965,265,127,223,67,2,2,16,16,13,16,7,2,2,2,100,25,55,31,2,2,2
"87","483294003647",2015,48,"MADISON H S","483294003647",4832940,0,928,277,1990,76,10,4,85,3370,244,55,412,31,4,0,31,NA,NA,NA,NA,NA,NA,NA,40,4,40,7,0,0,7
"88","530771002928",2015,53,"Interagency at KC Youth Service","530771002928",5307710,0,19,37,13,7,7,0,0,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","062271003034",2015,6,"Gardena Senior High","062271003034",622710,0,31,409,1024,85,7,13,16,1585,4,19,160,28,2,2,2,NA,NA,NA,NA,NA,NA,NA,4,13,145,25,0,0,4
"90","482526009380",2015,48,"CENTRAL H S","482526009380",4825260,0,1381,235,535,256,13,7,127,2554,502,67,184,136,4,0,49,NA,NA,NA,NA,NA,NA,NA,187,10,31,46,2,0,19
"91","040008301020",2015,4,"PPEP TEC - Victor Soltero Learning Center","040008301020",400083,1,19,4,31,0,2,0,4,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","481970013383",2015,48,"TARRANT CO COLLEGE SOUTH/FORT WORTH COLLEGIATE H S","481970013383",4819700,0,7,37,43,7,0,0,2,96,7,37,40,7,0,0,2,NA,NA,NA,NA,NA,NA,NA,2,10,10,0,0,0,0
"93","260100104693",2015,26,"Denby High School","260100104693",2601001,0,0,607,0,2,0,0,2,611,0,13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","180005802315",2015,18,"Herron High School","180005802315",1800058,1,469,178,37,19,4,0,58,765,313,67,19,10,2,0,37,NA,NA,NA,NA,NA,NA,NA,85,10,4,2,0,0,4
"95","480000407173",2015,48,"POR VIDA ACADEMY CHARTER H S","480000407173",4800004,1,4,4,121,0,0,0,0,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","063531007197",2015,6,"Middle College High","063531007197",635310,0,4,2,328,4,0,0,0,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,115,4,0,0,0
"97","480001608908",2015,48,"FORT WORTH CAN ACADEMY - Westcreek","480001608908",4800016,1,361,331,334,4,4,0,7,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","040593001995",2015,4,"Pinnacle High School","040593001995",405930,0,1999,46,286,91,10,4,100,2536,490,7,52,40,0,2,28,NA,NA,NA,NA,NA,NA,NA,328,0,22,22,0,2,16
"99","040038202331",2015,4,"Toltecali High School","040038202331",400382,1,4,0,109,0,2,0,0,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","063441005612",2015,6,"Galileo High","063441005612",634410,0,130,100,358,1381,4,13,19,2005,13,4,31,343,2,4,4,NA,NA,NA,NA,NA,NA,NA,31,13,49,460,2,7,5
"101","120087002756",2015,12,"MENDEZ EXCEPTIONAL CENTER","120087002756",1200870,0,10,10,4,0,0,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","481970021056",2015,48,"CHILDREN'S MEDICAL CTR","481970021056",4819700,0,22,10,8,0,0,0,0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,0,0,0
"103","290057403183",2015,29,"LIFT FOR LIFE ACADEMY HIGH SCH","290057403183",2900574,1,16,307,2,0,0,0,10,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","040006701901",2015,4,"Victory High School - Campus","040006701901",400067,1,0,4,25,4,2,0,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","040633000549",2015,4,"Maryvale High School","040633000549",406330,0,79,121,2731,7,34,4,13,2989,4,4,157,4,0,0,2,NA,NA,NA,NA,NA,NA,NA,7,4,148,4,4,0,0
"106","130012000066",2015,13,"Grady High School","130012000066",1300120,0,475,721,79,28,2,4,49,1358,283,103,13,13,0,0,16,79,13,4,4,0,0,4,307,85,10,16,0,2,19
"107","130012001939",2015,13,"Maynard H. Jackson- Jr. High School","130012001939",1300120,0,82,922,52,10,0,2,22,1090,58,184,16,7,0,2,16,16,16,5,2,0,0,2,28,52,4,2,0,0,7
"108","130012002212",2015,13,"North Atlanta High School","130012002212",1300120,0,571,700,349,43,4,2,49,1718,235,139,67,13,2,2,13,190,64,22,10,0,0,10,319,106,37,13,2,2,16
"109","130012003556",2015,13,"South Atlanta Law and Social Justice School","130012003556",1300120,0,2,259,10,0,0,2,0,273,0,31,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,10,0,0,0,0,0
"110","130012003980",2015,13,"Coretta Scott King Young Women's Leadership Academy","130012003980",1300120,0,2,488,8,0,0,0,2,500,0,53,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,38,0,0,0,0,0
"111","481623001324",2015,48,"NORTH DALLAS H S","481623001324",4816230,0,19,193,937,49,7,0,4,1209,7,22,178,16,2,0,2,NA,NA,NA,NA,NA,NA,NA,2,16,121,10,0,0,0
"112","120087003858",2015,12,"FREEDOM HIGH SCHOOL","120087003858",1200870,0,778,574,607,91,4,7,73,2134,367,64,133,52,4,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","291434002287",2015,29,"CRITTENTON TREATMENT CENTER","291434002287",2914340,0,37,13,2,0,2,0,0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","370031503031",2015,37,"Triad Math and Science Academy","370031503031",3700315,1,199,703,130,49,4,10,46,1141,22,37,2,4,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","403024001675",2015,40,"DANIEL WEBSTER HS","403024001675",4030240,0,166,142,85,2,61,2,55,513,16,8,5,2,8,0,0,NA,NA,NA,NA,NA,NA,NA,28,13,8,2,10,0,7
"116","480024112424",2015,48,"HARMONY SCHOOL OF EXCELLENCE","480024112424",4800241,1,46,31,484,10,0,0,2,573,13,4,76,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,10,4,22,2,0,0,0
"117","180004502137",2015,18,"Charles A Tindley Accelerated Sch","180004502137",1800045,1,5,247,2,0,0,0,7,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","290825002810",2015,29,"CENTER ALTERNATIVE","290825002810",2908250,0,4,55,4,0,0,0,7,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","040633002854",2015,4,"Betty Fairfax High School","040633002854",406330,0,157,490,958,64,79,7,64,1819,10,13,37,13,2,0,7,13,34,58,10,2,2,7,25,16,37,10,2,0,7
"120","180363000550",2015,18,"North Side High School","180363000550",1803630,0,550,259,175,88,4,4,121,1201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,10,10,10,0,0,2
"121","480020308758",2015,48,"A+ ACADEMY","480020308758",4800203,1,31,31,862,2,0,0,16,942,7,0,37,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,4,2,22,0,0,0,2
